topic_id,collection_count,beatmap_count,collection_names,beatmap_names
85,72,770,o!c - _Shield - ar8~9 DT finger control (10513) | o!c - _Shield - ar8~9 DT finger control (12391) | bob (14616) | DT : fingercontrol (12805) | - DT Stamina (12583),dahaca | Ma Cherie | ruriair | Justice Monster | milky ice bear | Ghosts Play to the Audience | Grin | death(from stupefaction) | dreamenddischarger | SOLID STATE SQUAD | elegante | Shuumatsu no Bishou | EXISTENCE | White Happy | Cristalisia | Presto | Flowering Night (Instrumental) | Eientewi set 06 ~ Plain Asia | Ferris' Sand Canyon | RE-OVERDOSE
86,64,731,BPM 150-159 (78) | BPM 150-159 (7365) | BPM 150-159 (2983) | [BPM] 150-159 (14720) | BPM 140-149 (77),Seeker | Red Sign | Fools of Damnation | AA | Batty (Extended) | V2 | Misplaced Shadow | You | Dance Away | Fairy Wars Symphony | Rivals | HOLY KNIGHT | Gekkou | Shining Wizard | Tenkuu no Yoake | Euphorium | F | ALBA | Bajo mi piel | Midnight Siege
87,70,672,Bangers (1362) | stream (8835) | Bursts - Streams (15234) | techno (6504) | .mm good song_0 (14393),United (L.A.O.S Remix) | Valley of the Damned | HEAVENLY PUNISHMENT | Stella-rium (Asterisk MAKINA Remix) | The Pretender | Mou Ii kai? | Be My Friend (TV Size) | Galaxy Collapse | Minamo no Sakura  Yume wa Sakayume | Louder than steel | Omoide Shiritori | filament | Feelin Sky | I.F. | I Love You | Genryuu Kaiko | DRAGON FORCE | Flower Dance | Storytellers | Waldschrein
88,97,5776,Ranked maps (2009) Part 1 (8054) | Ranked maps (2009) Part 2 (8059) | Anime (2009) (14295) | 2009 volume 2 (1447) | 2009 volume 3 (1448),Plug Out | Kumikyoku 'Lucky Star Douga' | White Lotus... | Yoiyami no Tsuki ni Dakarete | Shinkai no Kodoku (TV Size) | Justice to Believe | Kumikyoku | Tsubasa wo Kudasai (K-ON! ver.) | Ghostly Eyes | Tsubasa wo Kudasai (K-ON! ver.) | I Know Where You Sleep | Futari no Yakusoku (TV size) | Withered Leaf (Instrumental) | Candy Line | Futari no Yakusoku (TV size) | Withered Leaf (Instrumental) | Trust | Red Fraction | Boundary of Space | Heart To Heart
89,108,275,Consistency (7139) | ####NM 350-420PP (6349) | hr maps (400-600pp) (2729) | 350-399 +NM (6106) | !fc (8670),Waldschrein | New World | Shoujo Satori ~ Innumerable Eyes | I Bet You'll Forget That Even If You Noticed That | Yume no Tsubomi | Ray | MariannE | SANTA SAN | Asu no Yozora Shoukaihan | Ginza vs Ginza | From Under Cover (Caught Up In A Love Song) | The Self Surrendered | utopia | Dark Flight Dreamer | HELL! or HELL? | -ELIS- | First Storm -Japanese Version- | Guitar to Kodoku to Aoi Hoshi | Unhappy End World | Stella-rium (Asterisk MAKINA Remix)
90,27,744,Stream (14725) | o!c - KyraOoflet78 - STREAM (8012) | !stream (4597) |   Streams n shi (14031) | STREAM (1430),Mondfinsternis | Brutal Rush | Salamander | - Mei - Thanatos remix - | Easy Breezy / Eurobeat Remix | Blut Im Auge (Acoustic Version - Sagas) | The Age of Starlight Ends | Scourge of The Universe | Fushoku rusanchiman  fushi yoku no saru rakuza. | Seishin No Kairi No  Sakebi To Nageki. | Pyrrhic | uen | La voix du sang | The Devil | A New Era | Kaire! Setsugekka (Kaite and Bass Remix) | Hades:The end | Come With Me To The Other Side | Dancing like Nyanpasu | Passages
91,29,536,2007 (12511) | 2007 (852) | Ranked maps (2007) 2* (1490) | 2007-10 osu maps (11043) | 2007-11 osu maps (11044),Scatman | Shichiten Hakki * Shijou Shugi | DISCO PRINCE | AM11:00 | Fall Memories | Cosmos Pop | Nagareboshi ~Shooting Star~ | Final Fantasy 5 ROBOVoice OC ReMix | Pump me Amadeus | Just Communication | Tornado (Long Juan Feng) | Hitotoshite Jiku ga Bureteiru | Sunday Morning | Hit in the USA | Dreams | You Only Live Once | Emergency | Hey Now Now | Hana Maru Sensation | Timebomb
92,98,2532,W songs (12933) | my favorite maps :) (11221) | o!c - goblinlit - o!c - goblinlit - W songs (14744) | W sets (14020) | goblinlit tourney (13998),Little Knight | The Search | M1LLI0N PP | Tornado (Original Mix) | Gunjou Infinity (Cut Ver.) | Promised Love ~Daisuki x 100~ | Anyone Out There | Anyone Out There | Ghost | Full Flavor | Passcode 4854 -TV edit- | Rarin - GTA (Official Lyric Video) | Empty | Industry Baby vs. E.T. Mashup | Computer Boy | Setting Sail  Coming Home | Fata Morgana | STAR WALKIN' | Stronger | Stronger
93,109,3918,farm slop (18181) | [grind] streams (18479) | 190 BPM (16690) | speed  (18511) |            Stream (18388),Tenkai e no Kippu | Necrofantasia ~ Remix | Higan Kikou ~ View of The River Styx | Shikkoku no Shogun Regius | Saint Catastrophe | Avalon | Kuroiuta (Cityyy Remix) | Ready To Die Between Stars | The Fires Ignite | Get on the Tailwind | Judgement Day | Sayonara | Hollow | The Whisper Of Ancient Rocks | Arkadia | Black Berserker | Ki ga Kurutta Noise | look at me tenderly | Aragami (Short Ver.) | Sukitte hyatt kai itte (feat. Hatsune Miku)
94,167,2408,stream  (12209) | Stream (1893) |  #12 stages of ninerik (8220) | 5streamspam (6940) | stream (4031),HONESTY | Sidetracked Day | Road of Resistance | Victims of Contingency | EYES OF DEVILELIET | Valley of the Damned | FREEDOM DiVE [METAL DIMENSIONS] | Louder than steel | Sidetracked Day (Short Ver.) | Tower Of Heaven (You Are Slaves) | Ashes of the Dawn | Ange du Blanc Pur | Xevel | Yomi yori Kikoyu  Koukoku no Tou to Honoo no Shoujo | Louder than steel | Chinurareta Shuren ni Fukeru Houmura | Shinbatsu o Tadori Kyoukotsu ni Itaru | Everything will freeze | Kanjou no Matenrou ~ World's End | d.m.c (Band Ver.)
95,57,956,![love]楽しい (16212) | ![love]曲好き (16213) | ![love]むずたのしい (15196) | ![Map genre] Aim Control (15198) | ![Map genre]  Alt (15597),Ongaku -resolve- | Yosakura Fubuki | Butterfly Twist | Kyoumen no Nami (Jun Kuroda Bootleg Remix) | Koufukuron (TV Size) | Ijiwaru na Anata ~Shitto Darake~ | VALLISTA | Papermoon | Adam (Off Vocal) | Hyper Vivacity | Extend Ash ~ Houraijin | OX Game (Cut Break ver.) | Ouroboros -single Stroke Of The End- | Instant Blue | Valley of Voices | P8107 | Tie me down gently -long ver- | Insane Techniques | Fading Sky | RoquiRa : Between Life and Death
96,82,1676,ASPIRE (1819) | || 2B only&Asphire (1555) | ASPIRE (12652) | Storyboard - Aspire - 2B (6456) | * Aspire StoryBoard (1799),Time Traveler | Unshakable | Mayday (feat. Laura Brehm) | Lullaby | MAKE IT FUNKY NOW (BMS EDIT) | MariannE | Disconnected Hardkore (CanBlaster Remix) | Evanescent | Acid Rain | cherry blossoms explode across the dying horizon | Ping | Acid Rain | cherry blossoms explode across the dying horizon | Transform (Original Mix) | Space Invaders | slow down | Bad Apple!! feat. nomico | Aleph-0 | Without Warning | dandelion
97,38,1121,GAMMA (12296) | gamma slop (16139) | shred (outdated from 2024) (12574) | DELTA/GAMMA (15186) |         gama (16812),REASON GAMMA | Bad For Me GAMMA | Akasha GAMMA | Ice Angel GAMMA | Cellar of Ghosts GAMMA | Vertex Delta | The Deceit GAMMA | Sidetracked Day GAMMA | Vertex Delta | FN .380 ACP#19074 DELTA | Victims Of Contingency GAMMA | Palette GAMMA | Epitaph DELTA | Ice Angel GAMMA | Sidetracked Day GAMMA | FN .380 ACP#19074 DELTA | March of War / Axe of Judgement MINI GAMMA | Popular GAMMA | March of War / Axe of Judgement MINI GAMMA | The Whisper of Ancient GAMMA
98,81,607,4-digit warmup (6167) | Nyari#1 (293) |             elo elo relax (16938) | ` * Lower BPM Streams (340) | low bpm streams (16427),Ice Angel | RTCMON | Just Hold on (To All Fighters) | Mythologia's End | Great Nano Desu* | Sonata No.14 in cis-Moll  Op. 27/2 - 3. Satz | Sewing Machine | Junpaku*study time | Defenders | Deconstruction Star | True Blue | Valley of the Damned | Midorigo Queen Bee (Cut Ver.) | Symphony of the Night | Tower Of Heaven (You Are Slaves) | Liar Liar (Wasteland Monarchy) | Kislorod | Wind God Girl | AiAe | Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.)
99,35,577,o!c - giewar -   cool tech maps (5355) |   cool tech maps (956) | cool tech maps (2783) | all kind of tech maps (3188) |   tech (2503),Grenade | Tik Tok (Right on Time) | Trip to Valhalla | furioso melodia | memoryleak | Birds of Plague | Dota 2 real time strats | Animosity | shut up i don't want to talk | So Damn Tough | TAPIOCA | Viyella's Memory | Calamity Fortune (extended ver.) | Rebuilding of Paradise Lost | Poison Mushroom | Disconnected Hardkore (CanBlaster Remix) | Libertas (Extended ver.) | Last Judgement | Goodbye | Vision
