topic_id,collection_count,beatmap_count,collection_names,beatmap_names
30,101,3198,AimSlop (16477) |                  slopisko (16935) | ZZZEFARM (17051) | karomi crashout (16524) | aim slop (18090),Title Screen | Unstoppable | Bike Chase | Songs Compilation VI | Unstoppable | Unstoppable | erase u (sped up & cut ver.) | erase u (sped up & cut ver.) | Favorite Liar (Cut Ver.) | Songs Compilation VI | erase u (sped up & cut ver.) | Favorite Liar (Cut Ver.) | my love life needs a lobotomy | Favorite Liar (Cut Ver.) | RuLe | Unstoppable | ANTIDOTE | my love life needs a lobotomy | Song That Might Play When You Fight Sans | Bike Chase
31,175,2009,rhythm sheesh (5485) | Fingercontrol / Gimmick? (4277) | 1 [NM6 rhythm] (13710) | Fingercontrol / Reading (835) | >3alt: rhythm (13893),VANGUARD-1 | minefield surfing | SPUTNIK-3 | breathe | piano x forte | live on kaeps | Koigokoro | Grin | Asteroid Field of DECAPLETS | Event Horizon | Unidentified Frequency Op.1 (Type-Adamski) Demo | SPUTNIK-4 | VOSTOK-6 | SPUTNIK-6 | d e a t h p i a n o ~for four pianos~ | Gameset | elegante | Happy Synthesizer | The eve of epokhe | G.O.A.T.
32,137,2527,1 [NM1] (13683) | nm1 (11057) | 1. NM1 (13087) | NM1 (18935) | NM1: Generic Aim (7042),confidence driver | Kimeta yo Hand in Hand | Osanadachi | Seven Doors | Shuuen Requiem | Buta Musou | Storyteller | Sakebe | Uso No Hibana | ZEAL of proud | Owaranai Marionette | Unhappy Refrain | Danzai no Solitude | Marionette no Kairaku | Art as Heart | Can Do | Thrilling One Way | Thrill  Risk  Heartless | ID | Kuruizake Setsugetsuka
33,260,3918,Aim (7137) | Jumps (2505) | LLAMPS/AIM (2448) | NM fast jumps (4868) | o!c - Azra - ~❁ Aim (3725),Bring The Madness (Noisestorm Nightcore Remix) | Holdin' On (Skrillex and Nero Remix) | Sakura no Zenya (Speed Up Ver.) | Yume Chizu (Speed Up Ver.) | Monochrome Butterfly | Dead To Me (feat. Lox Chatterbox) | Lyoshka | Routine | Break Them (feat. Anna Yvette) | Anarchy Road | Nyan Nyan Drive (D: | Bang Bang | -ERROR | Maradjatok Gyerekek feat. Ecku | Routine | Mesen | Lone Digger | Warriors | Forward | AugoEidEs
34,38,380,BPM 190-199 (3609) | BPM 190-199 (6328) | BPM 190-199 (230) | BPM 190-199 (4963) | BPM 190-199 (18484),AMORE | Discord | Beneath The Crimson Vaults Of Cydonia | Angelic Party | The Tome Of Broken Souls | Folktales Princess | Blue osu! | Just Awake | Rokujuu Nenme no Shinsoku Saiban ~ Rapidity is a justice | Defenders | Amore | Halcyon (Full Ver.) | You May Not Want To Hear This But | Shounen A | Happening diary (K.P's SHIT Mixed) | Kyouran Hey Kids!! (Sped Up Ver.) | concon | Halcyon | Supernova | Chin Cheng Hanji (Intro Ver.)
35,137,1018,|| breakcore || (6307) | stream(retina) (1189) | goreshit mapit (5066) | Stamina (4710) | dedo control (2445),there are no angels here. | She Runs | benzo (with me eternal) | fleshbound | burn this moment into the retina of my eye | burn this moment into the retina of my eye | i love you more each time you die | Boogie | game over. | come find me | Kislorod | o'er the flood | o'er the flood | the pain of relief (we have our vices one and all) | looming shadow of a tree long gone | MATZcore | xenobeat | semantic compositions on death and its meaning | Figue Folle | chipscape
36,118,1968,NM2 (5299) | o!c - Junjou - NM2 (14005) | >NM2< (4307) | BBD - NM2 (5024) | o!c | NM2 (15863),Densetsu no Sabori Gami ~ Make a quick escape | Oborozuki Oou Kumo wo mo Sakinu | Halloween Candystore | INEXPERIENCE | Romanesque | Vortex | Forsaken City (Sever the Skyline Mix) | Primal scream | Fuujin Shoujo | Native file | Meikai Kikou | The Apocalypse | endtime | Final Revenge | ha@ppy s@mmer v@c@tion!! (Long ver.) | Oo warera yorokobi tataubeshi  shu yo | Dreamin' Attraction!! (2020 Remaster) | Twilight Of The Thunder God | Pantheon of Forsaken Gods | Tarot
37,122,2816,- * # TieBreakers (18029) | 6. TB (13091) | { TB } (5611) | [TB] (18451) | tb (9621),Kizan | ArchangeL | Waking Shadows feat. eili | 21st | EXXTRA JUDGEMENT | Divine Ordeal | Chosun | escape (the looking-glass  and what alice found there) | Firmament [feat. blaxervant] | ADHD | Sirius | Valley of Voices | Robot Stop | SOUND ARCHITECT | Duplicity Shade (feat. Sennzai) | Where the Spirits Go On | Endverse | MALEVOLENT VORTEX | Wisps of Nifl | OOPARTS
38,39,260,BPM 160-169 (4960) | BPM 160-169 (897) | o!c - gowon - BPM 160-169 (13024) | BPM 160-169 (18481) | BPM 160-169 (7366),Last Man Stands | Ludicrous Speed | Ummei no Dark Side -Rolling Gothic mix | [MLP FiM] Flutterbat Boss Battle Theme | Music Revolver | H.O.W.Ling | Thunder Light | Classic Style | NEW Astronomas | Red Zone | Green-Eyed Jealousy | Eternal Wind | erebus | Northwest Passage | Kensei | Dolls Garden | Chambarising | Shoot ten Dozy | Kyoai | Garasu no Kairou
39,46,215,BPM 250-259 (2993) | BPM 250-259 (236) | BPM 250-259 (88) | BPM 250-259 (4100) | BPM 250-259 (18490),Those Who from the Heavens Came | Goodbye | Into the Void | Blastix Riotz | Ankoku no Jyoukaku ni Shinkou Saru Igyou no Kyouki | The Battle of Lil' Slugger (Ch 1 Boss Extended Cut) | Assasin | Destroyer | Ala ruoki niita sorsia! | Stardust | EX-Termination | Ducks Whomst From The Heavens Came | The Deceit | ErAseRmoToR maXimUM | The Deceit | Dash Hopes 2 | ErAseRmoToR maXimUM | The Deceit / The Violation | The Deceit / The Violation | Forgotten
